Item,Product_Category,Avg_Price,Min_Price,Max_Price,Volatility,Trend_2010_2023,Data_Points,Year_Min,Year_Max
"Abaca, manila hemp, raw",Fibers,68.08,1.23,132.29,137.43,27.17,136.0,1991.0,2024.0
"Agave fibres, raw, n.e.c.",Fibers,78.61,8.48,131.78,67.79,59.06,169.0,1991.0,2024.0
Agriculture,Aggregates,130.04,0.0,173292.74,8941.13,46.09,5050.0,1991.0,2024.0
"Almonds, in shell",Nuts,81.2,0.05,1312.32,1495.26,-13.6,1279.0,1991.0,2024.0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Spices,83.43,0.05,2610.0,4227.33,-43.75,1020.0,1991.0,2024.0
Apples,Fruits,248.87,0.01,336501.06,26424.78,10.56,2752.0,1991.0,2024.0
Apricots,Fruits,86.25,0.04,1540.14,2285.19,-10.52,2036.0,1991.0,2024.0
Areca nuts,Nuts,79.57,1.25,231.62,232.65,197.41,369.0,1991.0,2024.0
Artichokes,Vegetables,84.3,0.06,869.29,3650.69,33.01,800.0,1991.0,2024.0
Asparagus,Vegetables,87.49,0.03,983.9,11511.85,70.59,1250.0,1991.0,2024.0
Avocados,Fruits,177.89,0.01,118836.0,21673.71,-5.43,1748.0,1991.0,2024.0
"Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip",Other Industrial,67.75,0.0,116.12,8987.07,12.39,68.0,1991.0,2024.0
"Bambara beans, dry",Pulses,84.6,22.28,148.14,56.66,10.77,118.0,1991.0,2024.0
Bananas,Fruits,172.35,0.0,180300.1,13406.84,326.39,2821.0,1991.0,2024.0
Bananas cavendish,Fruits,129.53,75.0,651.0,91.43,-1.0,101.0,1996.0,2024.0
Barley,Cereals,91.07,0.01,1380.65,26667.92,-34.73,2926.0,1991.0,2024.0
"Beans, dry",Pulses,168.63,0.0,221096.42,7745.51,105.41,3409.0,1991.0,2024.0
Beeswax,Other Industrial,83.36,0.13,958.73,791.87,198.45,450.0,1991.0,2024.0
Blueberries,Fruits,92.41,0.25,360.27,1384.32,-0.49,314.0,1991.0,2024.0
"Brazil nuts, in shell",Nuts,72.92,0.0,177.88,32876.93,175.9,136.0,1991.0,2024.0
"Broad beans and horse beans, dry",Pulses,81.46,0.0,1266.36,23886.8,75.97,1674.0,1991.0,2024.0
"Broad beans and horse beans, green",Vegetables,91.5,0.07,1628.48,2582.84,8.24,1667.0,1991.0,2024.0
Buckwheat,Cereals,88.66,0.0,903.82,19726.79,693.94,831.0,1991.0,2024.0
Cabbages,Vegetables,112.36,0.02,67746.1,7032.26,82.38,3981.0,1991.0,2024.0
Canary seed,Cereals,72.77,0.1,471.5,4441.43,176.1,306.0,1991.0,2024.0
Cantaloupes and other melons,Fruits,114.47,0.01,39462.99,7451.24,-16.96,2490.0,1991.0,2024.0
Carrots and turnips,Vegetables,131.97,0.02,106303.46,7170.23,43.53,3454.0,1991.0,2024.0
"Cashew nuts, in shell",Nuts,81.03,0.0,372.55,2459.52,131.12,903.0,1991.0,2024.0
Cashewapple,Fruits,71.49,0.0,145.0,13087.14,14.92,102.0,1991.0,2024.0
"Cassava, fresh",Roots & Tubers,87.33,0.0,687.83,1507.65,-16.89,2238.0,1991.0,2024.0
Castor oil seeds,Oilseeds,72.51,0.0,247.59,5219.56,45.08,808.0,1991.0,2024.0
Cauliflowers and broccoli,Vegetables,90.88,0.1,1367.04,1921.07,65.61,2739.0,1991.0,2024.0
Cereals n.e.c.,Cereals,360.54,0.16,342442.35,8128.83,187.84,1660.0,1991.0,2024.0
"Cereals, primary",Cereals,115.11,0.0,94582.0,7529.95,178.18,4761.0,1991.0,2024.0
Cherries,Fruits,86.62,0.04,1411.23,2461.28,31.26,2124.0,1991.0,2024.0
"Chestnuts, in shell",Nuts,84.43,0.05,1836.42,6679.47,312.7,823.0,1991.0,2024.0
"Chick peas, dry",Pulses,85.64,0.05,1815.35,2589.98,3.62,1576.0,1991.0,2024.0
Chicory roots,Vegetables,85.08,0.08,250.12,3788.51,14.5,437.0,1991.0,2024.0
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Spices,87.83,0.08,680.1,946.29,0.82,1692.0,1991.0,2024.0
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",Vegetables,109.57,0.08,60269.9,4023.02,94.49,3424.0,1991.0,2024.0
"Cinnamon and cinnamon-tree flowers, raw",Spices,78.01,0.3,279.27,957.12,17.47,249.0,1991.0,2024.0
"Citrus Fruit, Total",Fruits,115.93,0.0,75506.17,2603.98,-14.25,3338.0,1991.0,2024.0
"Cloves (whole stems), raw",Spices,80.42,1.76,677.95,325.23,36.36,204.0,1991.0,2024.0
"Coarse Grain, Total",Cereals,107.46,0.0,71878.28,12822.54,100.83,4726.0,1991.0,2024.0
Cocoa beans,Beverages,79.19,0.0,489.97,1284.51,-22.41,1201.0,1991.0,2024.0
"Coconuts, in shell",Oilseeds,81.52,0.01,1179.47,7388.56,15.8,1813.0,1991.0,2024.0
"Coffee, green",Beverages,82.24,0.0,661.17,21501.51,123.19,1764.0,1991.0,2024.0
Cooking bananas,Fruits,119.89,18.0,267.0,69.89,,61.0,2012.0,2024.0
"Cotton lint, ginned",Fibers,89.81,0.0,1251.05,3437.59,-11.1,2188.0,1991.0,2024.0
Cotton seed,Oilseeds,89.66,0.0,1785.81,3810.72,-38.93,2153.0,1991.0,2024.0
"Cow peas, dry",Pulses,82.31,1.3,506.29,224.48,17.91,854.0,1991.0,2024.0
Cranberries,Fruits,106.7,0.77,387.85,1354.34,2609.0,273.0,1991.0,2024.0
Cucumbers and gherkins,Vegetables,152.15,0.01,178323.55,15317.21,130.18,3713.0,1991.0,2024.0
Currants,Fruits,90.67,0.03,484.91,11455.88,4.64,1036.0,1991.0,2024.0
Dates,Fruits,94.78,0.09,1882.7,1609.27,173.7,937.0,1991.0,2024.0
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots & Tubers,87.93,0.06,3833.72,4539.85,-4.71,1822.0,1991.0,2024.0
Eggplants (aubergines),Vegetables,83.1,0.04,1661.71,1957.08,78.78,2457.0,1991.0,2024.0
Eggs Primary,Dairy & Eggs,87.15,0.0,3070.33,4443.34,25.86,4761.0,1991.0,2024.0
"Eggs from other birds in shell, fresh, n.e.c.",Dairy & Eggs,76.81,0.0,244.68,4979.32,37.03,1270.0,1991.0,2024.0
Fibre Crops Primary,Fibers,84.17,0.0,1172.19,3921.25,-35.88,2852.0,1991.0,2024.0
Figs,Fruits,87.75,0.01,2245.28,12808.98,-43.72,1466.0,1991.0,2024.0
"Flax, processed but not spun",Fibers,86.36,0.1,404.72,6951.92,-13.42,707.0,1991.0,2024.0
Fonio,Cereals,76.19,2.8,312.57,144.46,49.09,263.0,1991.0,2024.0
Fruit Primary,Fruits,119.66,0.0,131229.45,6368.66,-20.86,4865.0,1991.0,2024.0
"Fruit excl Melons, Total",Fruits,119.58,0.0,131352.57,5246.32,-24.08,4851.0,1991.0,2024.0
"Game meat, fresh, chilled or frozen",Meat,79.94,0.95,241.03,533.26,-2.34,1376.0,1991.0,2024.0
"Ginger, raw",Spices,77.92,0.28,420.83,809.96,56.54,1057.0,1991.0,2024.0
Gooseberries,Fruits,89.81,0.03,758.26,1712.45,75.22,617.0,1991.0,2024.0
Grapes,Fruits,131.12,0.0,84696.94,3152.37,-29.56,2576.0,1991.0,2024.0
Green corn (maize),Vegetables,472.88,0.75,370695.34,12830.55,84.94,1302.0,1991.0,2024.0
Green garlic,Vegetables,124.14,0.0,90638.89,13827.91,89.33,2723.0,1991.0,2024.0
"Groundnuts, excluding shelled",Oilseeds,166.58,0.01,173563.83,6005.39,4.5,2829.0,1991.0,2024.0
"Hazelnuts, in shell",Nuts,81.75,0.04,1015.43,7770.95,126.16,850.0,1991.0,2024.0
Hempseed,Oilseeds,68.61,0.1,286.46,2831.28,2.41,98.0,1991.0,2024.0
"Hen eggs in shell, fresh",Dairy & Eggs,87.28,0.0,3070.33,4443.5,25.86,4761.0,1991.0,2024.0
Hop cones,Beverages,88.04,0.12,312.34,3136.66,56.76,903.0,1991.0,2024.0
"Horse meat, fresh or chilled",Meat,87.68,0.01,521.14,16705.11,42.48,2305.0,1991.0,2024.0
"Horse meat, fresh or chilled (biological)",Meat,88.56,0.01,862.12,18934.9,42.48,2331.0,1991.0,2024.0
Jute & Jute-like Fibres,Fibers,76.99,0.01,230.04,20055.61,109.03,680.0,1991.0,2024.0
"Jute, raw or retted",Fibers,86.6,0.0,605.58,525.73,108.98,508.0,1991.0,2024.0
Kapok fruit,Other Industrial,105.91,87.25,150.77,10.39,-4.64,34.0,1991.0,2024.0
Karite nuts (sheanuts),Oilseeds,75.78,1.73,212.31,342.36,5.85,204.0,1991.0,2024.0
"Kenaf, and other textile bast fibres, raw or retted",Fibers,75.45,0.01,215.95,26991.77,155.3,442.0,1991.0,2024.0
Kiwi fruit,Fruits,106.04,0.24,1925.49,1409.05,136.06,688.0,1991.0,2024.0
Kola nuts,Nuts,77.52,3.74,175.44,116.99,21.03,116.0,1991.0,2024.0
Leeks and other alliaceous vegetables,Vegetables,97.37,0.28,1481.69,1080.4,5.55,1668.0,1991.0,2024.0
Lemons and limes,Fruits,84.23,0.0,2046.44,3093.73,23.11,2589.0,1991.0,2024.0
"Lentils, dry",Pulses,78.02,0.09,1491.1,957.27,9.1,1681.0,1991.0,2024.0
Lettuce and chicory,Vegetables,166.93,0.11,160307.63,6416.66,44.14,2806.0,1991.0,2024.0
Linseed,Oilseeds,82.48,0.0,460.46,4019.78,-42.22,1575.0,1991.0,2024.0
Livestock,Aggregates,94.66,0.0,33661.7,9084.56,-4.38,4929.0,1991.0,2024.0
Locust beans (carobs),Fruits,103.39,0.12,1729.12,2451.6,5.42,475.0,1991.0,2024.0
Lupins,Pulses,84.11,0.2,412.54,1076.87,59.77,827.0,1991.0,2024.0
Maize (corn),Cereals,109.25,0.0,69435.37,10854.82,343.16,4445.0,1991.0,2024.0
"Mangoes, guavas and mangosteens",Fruits,136.59,0.0,78482.79,2248.83,18.44,2411.0,1991.0,2024.0
Mat̩ leaves,Other,71.08,0.0,251.13,3457.63,1022.9,102.0,1991.0,2024.0
"Meat of asses, fresh or chilled",Meat,93.36,4.8,305.78,357.13,-64.05,349.0,1991.0,2024.0
"Meat of asses, fresh or chilled (biological)",Meat,98.94,4.8,699.47,387.09,-80.57,381.0,1991.0,2024.0
"Meat of buffalo, fresh or chilled",Meat,78.6,0.05,926.2,1354.57,-7.35,807.0,1991.0,2024.0
"Meat of buffalo, fresh or chilled (biological)",Meat,78.9,0.04,1150.66,1767.72,328.99,843.0,1991.0,2024.0
"Meat of camels, fresh or chilled",Meat,81.19,0.09,934.1,924.25,4.94,773.0,1991.0,2024.0
"Meat of camels, fresh or chilled (biological)",Meat,78.16,0.03,842.51,5349.64,5.64,789.0,1991.0,2024.0
"Meat of cattle with the bone, fresh or chilled",Meat,83.88,0.0,1445.0,1648.22,-18.8,4625.0,1991.0,2024.0
"Meat of cattle with the bone, fresh or chilled (biological)",Meat,105.41,0.0,70193.31,11558.55,-18.93,4695.0,1991.0,2024.0
"Meat of chickens, fresh or chilled",Meat,82.75,0.0,941.12,1789.51,4.82,4608.0,1991.0,2024.0
"Meat of chickens, fresh or chilled (biological)",Meat,166.33,0.0,283660.58,6197.96,5.54,4720.0,1991.0,2024.0
"Meat of ducks, fresh or chilled",Meat,82.32,0.0,1128.42,7225.02,0.31,2142.0,1991.0,2024.0
"Meat of ducks, fresh or chilled (biological)",Meat,83.18,0.0,1241.59,7186.17,74.88,2139.0,1991.0,2024.0
"Meat of geese, fresh or chilled",Meat,81.28,0.3,287.62,708.3,0.91,1279.0,1991.0,2024.0
"Meat of geese, fresh or chilled (biological)",Meat,84.53,0.21,1744.66,1304.97,77.76,1291.0,1991.0,2024.0
"Meat of goat, fresh or chilled",Meat,81.6,0.01,946.69,12688.43,2.94,3930.0,1991.0,2024.0
"Meat of goat, fresh or chilled (biological)",Meat,106.38,0.01,70601.01,3906.29,3.61,4076.0,1991.0,2024.0
"Meat of mules, fresh or chilled",Meat,95.21,8.61,296.52,428.02,150.99,116.0,1991.0,2024.0
"Meat of mules, fresh or chilled (biological)",Meat,101.91,8.61,696.87,347.36,150.99,130.0,1991.0,2024.0
"Meat of other domestic camelids, fresh or chilled",Meat,75.62,20.22,132.7,14.09,86.83,34.0,1991.0,2024.0
"Meat of other domestic camelids, fresh or chilled (biological)",Meat,74.9,20.58,118.39,13.9,62.64,34.0,1991.0,2024.0
"Meat of other domestic rodents, fresh or chilled",Meat,83.46,26.77,166.24,26.66,189.88,68.0,1991.0,2024.0
"Meat of other domestic rodents, fresh or chilled (biological)",Meat,84.25,26.77,172.2,25.89,186.74,68.0,1991.0,2024.0
"Meat of pig with the bone, fresh or chilled",Meat,84.39,0.0,737.37,3637.44,0.72,4190.0,1991.0,2024.0
"Meat of pig with the bone, fresh or chilled (biological)",Meat,88.43,0.0,5508.14,5090.61,64.87,4280.0,1991.0,2024.0
"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen",Meat,97.82,6.54,310.33,201.57,-0.17,307.0,1991.0,2024.0
"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen (biological)",Meat,102.3,6.56,525.07,264.62,760.56,84.0,1991.0,2024.0
"Meat of rabbits and hares, fresh or chilled",Meat,83.23,0.01,970.62,17755.55,6.67,1642.0,1991.0,2024.0
"Meat of rabbits and hares, fresh or chilled (biological)",Meat,86.41,0.01,969.98,4085.64,23.08,1629.0,1991.0,2024.0
"Meat of sheep, fresh or chilled",Meat,82.09,0.01,1033.25,6567.82,-22.4,4354.0,1991.0,2024.0
"Meat of sheep, fresh or chilled (biological)",Meat,114.49,0.01,93193.93,12600.6,-22.22,4416.0,1991.0,2024.0
"Meat of turkeys, fresh or chilled",Meat,84.23,0.0,426.75,6256.94,32.93,2030.0,1991.0,2024.0
"Meat of turkeys, fresh or chilled (biological)",Meat,85.29,0.0,1049.13,4420.53,157.47,1939.0,1991.0,2024.0
"Meat, Total",Meat,82.17,0.0,972.96,5417.4,-13.6,4659.0,1991.0,2024.0
Melonseed,Oilseeds,91.78,10.06,582.82,112.63,75.71,276.0,1991.0,2024.0
"Milk, Total",Dairy & Eggs,95.98,0.0,33661.7,4457.11,-4.18,4744.0,1991.0,2024.0
Millet,Cereals,150.85,0.06,89367.93,20076.87,-43.67,2165.0,1991.0,2024.0
Mixed grain,Cereals,97.24,0.05,273.75,10299.24,17.98,704.0,1991.0,2024.0
Mushrooms and truffles,Vegetables,93.97,0.1,1820.82,1376.58,19.89,2070.0,1991.0,2024.0
Mustard seed,Oilseeds,80.36,0.1,561.15,601.25,-59.03,751.0,1991.0,2024.0
Natural honey,Other Industrial,81.87,0.0,2657.16,7441.8,-36.24,3472.0,1991.0,2024.0
Natural rubber in primary forms,Other Industrial,78.91,0.01,364.8,3530.61,49.75,748.0,1991.0,2024.0
"Nutmeg, mace, cardamoms, raw",Spices,72.75,0.38,408.44,1005.32,104.06,535.0,1991.0,2024.0
Oats,Cereals,94.02,0.01,892.88,17396.59,29.34,2313.0,1991.0,2024.0
Oil palm fruit,Oilseeds,76.7,0.0,1148.63,3231.79,183.62,911.0,1991.0,2024.0
"Oilcrops, Oil Equivalent",Oilseeds,173.89,0.0,324779.69,11508.83,-35.47,4712.0,1991.0,2024.0
Okra,Vegetables,87.75,0.05,1436.5,2031.16,18.19,1215.0,1991.0,2024.0
Olives,Oilseeds,90.54,0.0,1578.57,20381.25,-40.05,1207.0,1991.0,2024.0
"Onions and shallots, dry (excluding dehydrated)",Vegetables,221.11,0.0,379513.88,13789.08,108.81,3811.0,1991.0,2024.0
"Onions and shallots, green",Vegetables,91.29,0.17,3871.58,721.27,67.76,1777.0,1991.0,2024.0
Oranges,Fruits,125.46,0.0,75506.17,8795.47,-14.26,3089.0,1991.0,2024.0
Other bananas (excluding cavendish and cooking bananas),Fruits,125.74,60.0,513.0,54.14,,85.0,2012.0,2024.0
"Other beans, green",Vegetables,107.41,0.04,36465.46,1898.67,74.8,2891.0,1991.0,2024.0
Other berries and fruits of the genus vaccinium n.e.c.,Fruits,84.68,0.02,740.18,8353.24,45.55,1011.0,1991.0,2024.0
"Other citrus fruit, n.e.c.",Fruits,90.08,0.03,1632.72,4862.14,-14.25,1758.0,1991.0,2024.0
"Other fibre crops, raw, n.e.c.",Fibers,77.14,0.0,284.0,6538.44,-12.93,576.0,1991.0,2024.0
"Other fruits, n.e.c.",Fruits,81.78,0.06,354.91,2668.41,89.46,3335.0,1991.0,2024.0
"Other meat of mammals, fresh or chilled",Meat,79.97,0.02,814.44,11716.23,310.39,941.0,1991.0,2024.0
"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",Nuts,77.84,0.0,543.62,3267.85,-16.75,1893.0,1991.0,2024.0
"Other oil seeds, n.e.c.",Oilseeds,81.75,0.01,334.45,6753.75,317.73,1052.0,1991.0,2024.0
Other pome fruits,Fruits,75.28,0.04,235.12,100.53,2.19,89.0,1992.0,2024.0
Other pulses n.e.c.,Pulses,872.0,0.04,1826611.51,82826.04,-39.05,2991.0,1991.0,2024.0
"Other stimulant, spice and aromatic crops, n.e.c.",Spices,80.49,0.08,666.31,3631.91,56.47,1582.0,1991.0,2024.0
Other stone fruits,Fruits,83.38,0.03,322.27,7486.95,-18.11,955.0,1991.0,2024.0
Other sugar crops n.e.c.,Sugar Crops,64.63,2.39,140.09,134.54,62.24,136.0,1991.0,2024.0
"Other tropical fruits, n.e.c.",Fruits,80.42,0.0,316.56,17369.16,42.67,992.0,1991.0,2024.0
"Other vegetables, fresh n.e.c.",Vegetables,88.73,0.01,14463.08,13045.93,41.72,4155.0,1991.0,2024.0
Palm kernels,Oilseeds,74.42,0.01,271.79,8965.79,32.96,961.0,1991.0,2024.0
Palm oil,Other Industrial,76.89,0.01,302.68,3832.26,31.62,1000.0,1991.0,2024.0
Papayas,Fruits,87.06,0.0,1458.29,12572.51,114.36,1903.0,1991.0,2024.0
Peaches and nectarines,Fruits,89.48,0.0,1438.27,5482.61,12.45,2287.0,1991.0,2024.0
Pears,Fruits,134.1,0.0,92973.7,4556.48,-6.89,2533.0,1991.0,2024.0
"Peas, dry",Pulses,84.87,0.0,630.43,2749.96,13.13,2707.0,1991.0,2024.0
"Peas, green",Vegetables,101.59,0.08,25526.98,1773.1,88.86,2437.0,1991.0,2024.0
"Pepper (Piper spp.), raw",Spices,68.2,0.0,467.49,4000.66,90.56,1064.0,1991.0,2024.0
"Peppermint, spearmint",Spices,92.18,22.28,273.92,60.49,173.92,102.0,1991.0,2024.0
Persimmons,Fruits,91.28,0.0,528.18,24573.22,116.05,438.0,1991.0,2024.0
"Pigeon peas, dry",Pulses,80.29,1.33,273.59,185.52,57.08,531.0,1991.0,2024.0
Pineapples,Fruits,111.02,0.0,37618.76,6620.69,8.53,2210.0,1991.0,2024.0
"Pistachios, in shell",Nuts,84.92,0.07,1859.29,842.23,34.28,576.0,1991.0,2024.0
Plantains,Fruits,120.93,34.0,396.0,48.9,-1.56,168.0,1992.0,2024.0
Plantains and cooking bananas,Fruits,80.03,0.05,646.85,1555.93,50.67,1181.0,1991.0,2024.0
Plums and sloes,Fruits,95.42,0.01,18626.99,9159.44,-34.43,2639.0,1991.0,2024.0
Pomelos and grapefruits,Fruits,84.82,0.01,2511.67,9971.42,10.92,2024.0,1991.0,2024.0
Poppy seed,Oilseeds,93.63,0.07,1571.96,6922.73,11.52,475.0,1991.0,2024.0
Potatoes,Vegetables,148.5,0.0,187020.76,5966.96,83.94,4134.0,1991.0,2024.0
"Pulses, Total",Pulses,196.03,0.0,389852.14,8818.97,-39.05,4476.0,1991.0,2024.0
"Pumpkins, squash and gourds",Vegetables,84.6,0.06,1262.04,2394.13,133.8,2970.0,1991.0,2024.0
"Pyrethrum, dried flowers",Other Industrial,80.4,1.47,203.29,199.13,23.34,136.0,1991.0,2024.0
Quinces,Fruits,84.19,0.0,1314.62,3121.88,56.75,1682.0,1991.0,2024.0
Quinoa,Cereals,51.28,1.36,166.33,150.9,-1.89,102.0,1991.0,2024.0
"Ramie, raw or retted",Fibers,79.99,0.01,234.75,35271.64,10.97,136.0,1991.0,2024.0
Rape or colza seed,Oilseeds,88.54,0.0,1162.61,7113.86,3.07,1831.0,1991.0,2024.0
Raspberries,Fruits,85.17,0.03,442.48,1626.65,52.92,1574.0,1991.0,2024.0
Raw milk of buffalo,Dairy & Eggs,85.17,0.05,1297.84,5178.97,-12.66,599.0,1991.0,2024.0
Raw milk of camel,Dairy & Eggs,77.73,0.03,750.38,3375.16,-22.01,575.0,1991.0,2024.0
Raw milk of cattle,Dairy & Eggs,96.54,0.0,33661.7,5474.48,2.11,4780.0,1991.0,2024.0
Raw milk of goats,Dairy & Eggs,82.14,0.0,1709.81,1985.17,-33.42,2775.0,1991.0,2024.0
Raw milk of sheep,Dairy & Eggs,83.54,0.03,1874.82,6457.56,-21.78,2028.0,1991.0,2024.0
Rice,Cereals,86.76,0.0,2300.6,1392.6,-10.46,3041.0,1991.0,2024.0
"Roots and Tubers, Total",Roots & Tubers,147.53,0.0,223213.68,5627.3,83.94,4957.0,1991.0,2024.0
Rye,Cereals,91.93,0.0,1052.28,17439.79,105.76,1878.0,1991.0,2024.0
Safflower seed,Oilseeds,80.51,0.08,720.4,1505.44,314.9,607.0,1991.0,2024.0
"Seed cotton, unginned",Fibers,82.53,0.0,424.54,2217.11,-40.69,2201.0,1991.0,2024.0
Sesame seed,Oilseeds,80.45,0.01,1551.81,11887.11,-23.38,1861.0,1991.0,2024.0
"Shorn wool, greasy, including fleece-washed shorn wool",Other Industrial,87.75,0.0,4597.15,8474.99,-26.47,2891.0,1991.0,2024.0
Silk-worm cocoons suitable for reeling,Other Industrial,85.81,0.0,1160.55,7971.61,-18.91,718.0,1991.0,2024.0
"Sisal, raw",Fibers,74.13,0.0,310.89,8782.59,366.88,435.0,1991.0,2024.0
Sorghum,Cereals,125.11,0.01,84805.79,3823.19,46.01,2799.0,1991.0,2024.0
Sour cherries,Fruits,98.74,0.04,1740.2,4403.07,38.17,1076.0,1991.0,2024.0
Soya beans,Oilseeds,405.48,0.0,669268.85,30832.91,37.34,2709.0,1991.0,2024.0
Spinach,Vegetables,86.55,0.09,1531.35,1019.11,59.32,1798.0,1991.0,2024.0
Stillingia oil,Other Industrial,75.12,24.26,115.2,9.0,28.96,34.0,1991.0,2024.0
Strawberries,Fruits,88.67,0.0,1274.81,12323.11,92.36,2326.0,1991.0,2024.0
String beans,Vegetables,85.48,0.09,1411.48,3929.14,198.3,601.0,1991.0,2024.0
Sugar beet,Sugar Crops,97.25,0.02,1355.96,11005.58,10.28,1854.0,1991.0,2024.0
Sugar cane,Sugar Crops,222.98,0.0,231040.89,12775.41,-36.14,2215.0,1991.0,2024.0
Sunflower seed,Oilseeds,89.8,0.0,6555.22,1573.93,-38.92,2078.0,1991.0,2024.0
Sweet potatoes,Roots & Tubers,243.5,0.0,334522.13,13536.14,93.03,2711.0,1991.0,2024.0
"Tangerines, mandarins, clementines",Fruits,88.06,0.0,1235.46,2728.44,7.96,1932.0,1991.0,2024.0
Taro,Roots & Tubers,89.09,0.09,930.64,2949.8,38.45,905.0,1991.0,2024.0
Tea leaves,Beverages,89.19,0.0,1046.73,6521.27,779.57,1222.0,1991.0,2024.0
Tea nes (herbal tea),Beverages,90.24,52.64,115.27,10.32,18.95,34.0,1991.0,2024.0
Tomatoes,Vegetables,179.68,0.0,307122.4,9610.33,95.48,4433.0,1991.0,2024.0
"Treenuts, Total",Nuts,79.32,0.0,1084.58,2647.56,-2.07,2984.0,1991.0,2024.0
Triticale,Cereals,97.02,0.1,1049.08,1693.37,4.51,1150.0,1991.0,2024.0
"True hemp, raw or retted",Fibers,86.37,0.18,200.94,10159.79,-10.18,98.0,1991.0,2024.0
Tung nuts,Other Industrial,77.29,0.0,317.63,5589.67,310.52,199.0,1991.0,2024.0
Unmanufactured tobacco,Other Industrial,126.79,0.0,92320.17,2232.95,106.62,3419.0,1991.0,2024.0
"Vanilla, raw",Spices,119.0,0.11,2215.41,2536.37,39.59,301.0,1991.0,2024.0
Vegetable tallow,Other Industrial,81.74,29.57,131.18,8.54,48.81,34.0,1991.0,2024.0
Vegetables Primary,Vegetables,119.47,0.0,131010.12,5877.64,89.34,4837.0,1991.0,2024.0
"Vegetables&Melons, Total",Vegetables,119.18,0.0,130963.69,5305.4,-9.76,4885.0,1991.0,2024.0
Vetches,Pulses,87.09,0.07,1143.38,1902.6,76.79,1241.0,1991.0,2024.0
"Walnuts, in shell",Nuts,81.62,0.0,964.9,10588.35,-15.88,1633.0,1991.0,2024.0
Watermelons,Fruits,91.76,0.0,3079.83,31880.08,9.41,2956.0,1991.0,2024.0
Wheat,Cereals,250.6,0.0,408938.11,53623.37,434.3,3406.0,1991.0,2024.0
Yams,Roots & Tubers,94.39,0.0,3257.82,13288.36,150.43,1215.0,1991.0,2024.0
Yautia,Roots & Tubers,73.08,4.11,287.08,144.79,54.63,398.0,1991.0,2024.0
